WKT;LocationID;LocationID:1;count(*)
"LINESTRING (1006496.67915868 216719.218168679,997734.64523314 232321.290547517)";7;41;6
"LINESTRING (1006496.67915868 216719.218168679,1000643.63225909 237395.871547804)";7;42;8
"LINESTRING (1006496.67915868 216719.218168679,987063.185702125 216986.070033749)";7;48;8
"LINESTRING (1006496.67915868 216719.218168679,1001596.48220188 231170.723135634)";7;74;6
"LINESTRING (1006496.67915868 216719.218168679,988147.657990998 204368.501875322)";7;79;6
"LINESTRING (1006496.67915868 216719.218168679,996787.663054657 218166.43435331)";7;140;11
"LINESTRING (1006496.67915868 216719.218168679,995431.197518655 218699.19272686)";7;141;16
"LINESTRING (1006496.67915868 216719.218168679,990428.525989642 215447.527223911)";7;161;10
"LINESTRING (1006496.67915868 216719.218168679,991908.589567896 214959.581642299)";7;162;12
"LINESTRING (1006496.67915868 216719.218168679,990209.600058688 211701.315979929)";7;170;10
"LINESTRING (1006496.67915868 216719.218168679,993906.172307161 214975.366877186)";7;229;10
"LINESTRING (1006496.67915868 216719.218168679,988628.060046702 216099.139768387)";7;230;6
"LINESTRING (1006496.67915868 216719.218168679,996155.386765685 223613.753576024)";7;236;6
"LINESTRING (1006496.67915868 216719.218168679,990167.498291722 224895.872164795)";7;239;6
"LINESTRING (1006496.67915868 216719.218168679,999064.725082434 221974.400787808)";7;262;7
"LINESTRING (1006496.67915868 216719.218168679,997817.919661102 223005.98840945)";7;263;9
"LINESTRING (998142.206078638 191215.068359119,986773.546091555 201205.264891607)";17;148;7
"LINESTRING (998142.206078638 191215.068359119,988955.887520141 199673.277024996)";17;232;6
"LINESTRING (988101.221326198 189071.579139366,986773.546091555 201205.264891607)";25;148;10
"LINESTRING (988101.221326198 189071.579139366,982065.701385469 200780.540427251)";25;231;11
"LINESTRING (985567.139360788 192774.492365673,988147.657990998 204368.501875322)";33;79;15
"LINESTRING (985567.139360788 192774.492365673,982171.727891981 196785.940844905)";33;87;6
"LINESTRING (985567.139360788 192774.492365673,998235.393848758 205059.362641067)";33;112;8
"LINESTRING (985567.139360788 192774.492365673,984976.121743974 204630.607987529)";33;114;9
"LINESTRING (985567.139360788 192774.492365673,995431.197518655 218699.19272686)";33;141;6
"LINESTRING (985567.139360788 192774.492365673,985104.148522702 201915.790275745)";33;144;8
"LINESTRING (985567.139360788 192774.492365673,986773.546091555 201205.264891607)";33;148;6
"LINESTRING (985567.139360788 192774.492365673,990428.525989642 215447.527223911)";33;161;8
"LINESTRING (985567.139360788 192774.492365673,982065.701385469 200780.540427251)";33;231;6
"LINESTRING (985567.139360788 192774.492365673,980639.51176755 197635.173702467)";33;261;6
"LINESTRING (1007067.37845475 194506.264574072,988147.657990998 204368.501875322)";36;79;15
"LINESTRING (1007067.37845475 194506.264574072,986773.546091555 201205.264891607)";36;148;10
"LINESTRING (1007067.37845475 194506.264574072,997817.919661102 223005.98840945)";36;263;6
"LINESTRING (1005813.83763554 192491.07254917,984272.778632622 211948.912400082)";37;68;6
"LINESTRING (1005813.83763554 192491.07254917,988147.657990998 204368.501875322)";37;79;7
"LINESTRING (1005813.83763554 192491.07254917,986773.546091555 201205.264891607)";37;148;11
"LINESTRING (997734.64523314 232321.290547517,1043488.1868617 175062.677584866)";41;132;10
"LINESTRING (997734.64523314 232321.290547517,1019251.30697101 221428.044928507)";41;138;11
"LINESTRING (1000643.63225909 237395.871547804,990633.980641048 202959.782391137)";42;4;6
"LINESTRING (1000643.63225909 237395.871547804,1043488.1868617 175062.677584866)";42;132;6
"LINESTRING (1001091.01415382 185009.747695003,988147.657990998 204368.501875322)";61;79;6
"LINESTRING (988108.376644726 192606.948347789,990633.980641048 202959.782391137)";65;4;6
"LINESTRING (988108.376644726 192606.948347789,988147.657990998 204368.501875322)";65;79;6
"LINESTRING (988108.376644726 192606.948347789,986773.546091555 201205.264891607)";65;148;8
"LINESTRING (988108.376644726 192606.948347789,982065.701385469 200780.540427251)";65;231;6
"LINESTRING (988214.545980758 195128.663514045,979792.331028984 198691.525437532)";66;13;11
"LINESTRING (988214.545980758 195128.663514045,988147.657990998 204368.501875322)";66;79;9
"LINESTRING (988214.545980758 195128.663514045,985104.148522702 201915.790275745)";66;144;8
"LINESTRING (988214.545980758 195128.663514045,986773.546091555 201205.264891607)";66;148;6
"LINESTRING (988214.545980758 195128.663514045,981760.163009758 207069.855248185)";66;158;7
"LINESTRING (988214.545980758 195128.663514045,990428.525989642 215447.527223911)";66;161;12
"LINESTRING (988214.545980758 195128.663514045,988362.833435725 212002.893035669)";66;164;13
"LINESTRING (988214.545980758 195128.663514045,986345.398600469 211974.446218567)";66;186;7
"LINESTRING (988214.545980758 195128.663514045,983823.807116491 203008.491333003)";66;211;6
